title,genres,director,cast,overview,keywords,rating,year
Code spark,"Action, Sci-Fi",Greta Gerwig,"Awkwafina, Sandra Bullock, Kate Winslet","After surviving a devastating scandal, a former detective seeks vengeance against those who destroyed everything. The action never stops in this pulse-pounding ride through the criminal underworld.","weapons, genetic-engineering, AI, technology, survival, combat, mercenary",4.1,2002
The raven Treasure,"Adventure, Horror",Ang Lee,"Daisy Ridley, Melissa McCarthy, Leonardo DiCaprio, Samuel L. Jackson","An intrepid journalist sets out on a quest to find the legendary Heart of the Void before it falls into the wrong hands. Crossing treacherous landscapes and outsmarting rivals, the adventure of a lifetime unfolds. A thrilling ride from start to finish.","pirates, ancient-ruins, slasher, map, isolation, expedition",4.5,2012
Dark flame,"Action, Animation",Sofia Coppola,"Jennifer Lawrence, Oscar Isaac, Brie Larson","After surviving a devastating scandal, a former pilot seeks vengeance against those who destroyed everything. The action never stops in this pulse-pounding ride through the criminal underworld.","chase, weapons, combat, military, mission",8.7,1996
The Legend of serpent,"Animation, Romance",Alejandro Inarritu,"Rami Malek, Zendaya, John Boyega","A curious a retired professor stumbles into a hidden realm filled with wonder and danger. To find their way home, they must solve an ancient riddle and confront their deepest fears. A stunning animated film with a powerful message about self-discovery.","magic, enchanted, soulmate, fantasy, colorful",5.5,2004
The lost arrow,"Action, Thriller",Guillermo del Toro,"Florence Pugh, Al Pacino, Will Smith","After surviving a devastating accident, a former pilot seeks vengeance against those who destroyed everything. The action never stops in this pulse-pounding ride through the criminal underworld.","suspense, explosion, mystery, survival, conspiracy, investigation, mercenary",7.1,2006
Crimson spark,"Horror, Crime",Greta Gerwig,"Cate Blanchett, Samuel L. Jackson, Scarlett Johansson, Melissa McCarthy","A group of friends ventures into modern-day Berlin, unaware of the ancient evil that lurks beneath. As night falls and the terror begins, survival becomes the only goal. A chilling horror film that will haunt your dreams.","noir, isolation, slasher, mafia, haunted",6.9,1990
The Weight of whisper,"Drama, Adventure",Sam Mendes,"Oscar Isaac, Jenna Ortega, Christian Bale","Spanning three decades, this intimate drama follows a young woman through triumph and heartbreak. As family secrets unravel, the true cost of ambition comes to light. An unforgettable exploration of what it means to truly belong.","expedition, secrets, relationships, map, grief, wilderness",7.5,2002
Plan phoenix,Comedy,James Cameron,"Tilda Swinton, Meryl Streep, Viola Davis, Morgan Freeman","A mismatched group of neighbours must work together to pull off the impossible before the deadline. With egos clashing and plans falling apart, the real comedy is in the journey. Heartwarming, witty, and endlessly entertaining.","slapstick, wit, funny, misunderstanding, awkward",6.7,1994
The gentle Trail,"Adventure, Comedy, Crime",Park Chan-wook,"Timothee Chalamet, Charlize Theron, Melissa McCarthy","Stranded in the wilderness after a catastrophic disappearance, a struggling artist must use every skill to survive. As they push deeper into the unknown, they find something far more valuable than rescue. An awe-inspiring adventure about resilience and discovery.","road-trip, gang, ancient-ruins, jungle, wilderness",6.1,2023
No lotus,"Thriller, Crime",Christopher Nolan,"Salma Hayek, Ryan Gosling, Leonardo DiCaprio",Nothing is as it seems when a young woman uncovers a conspiracy that reaches the highest levels of power. Trust no one in this gripping psychological thriller filled with twists and betrayals. The truth may be the most dangerous weapon of all.,"investigation, paranoia, suspense, deception, stalker",5.3,2021
Operation sun,Comedy,Wong Kar-wai,"Saoirse Ronan, Robert Pattinson, Jake Gyllenhaal, Daisy Ridley","A mismatched group of colleagues must work together to pull off the impossible before the deadline. With egos clashing and plans falling apart, the real comedy is in the journey. Heartwarming, witty, and endlessly entertaining.","funny, wedding, awkward, wit",6.3,1993
Silent lotus,"Drama, Action",Denis Villeneuve,"Joaquin Phoenix, Keanu Reeves, Austin Butler","A deeply moving portrait of an ambitious lawyer struggling to find meaning after disappearance. Set against the backdrop of post-war London, the film explores themes of loss, hope, and human connection. A powerful story that stays with you long after the credits roll.","loss, chase, explosion, survival, family, military, ambition",8.6,1995
The harbor Witness,"Thriller, Comedy, Horror",Taika Waititi,"Kate Winslet, Scarlett Johansson, Christian Bale, Daniel Kaluuya",Nothing is as it seems when a small-town teacher uncovers a conspiracy that reaches the highest levels of power. Trust no one in this gripping psychological thriller filled with twists and betrayals. The truth may be the most dangerous weapon of all.,"deception, road-trip, conspiracy, curse, serial-killer, suspense",7.8,2021
Quantum dawn,Sci-Fi,Ang Lee,"Sandra Bullock, Adam Driver, Scarlett Johansson","In a future where emotions are currency, humanity faces its greatest challenge yet. A brilliant hacker discovers a truth that could change everything, but powerful forces want it buried. A thought-provoking sci-fi epic about the cost of progress.","AI, cyberpunk, virtual-reality, space, technology",4.4,1994
No sun,"Thriller, Horror",Ava DuVernay,"Gal Gadot, Cate Blanchett, Pedro Pascal","After receiving a cryptic message from a dead colleague, a war veteran is drawn into a web of deception. Every clue leads to more questions, and the clock is ticking. An edge-of-your-seat thriller with a devastating finale.","isolation, curse, serial-killer, stalker, nightmare, investigation",7.7,2009
The final Garden,"Drama, Action",Wong Kar-wai,"Tom Hanks, Keanu Reeves, Florence Pugh","In the quiet corners of modern-day Berlin, a single parent confronts a past that refuses to stay buried. Through unexpected friendships and hard-won wisdom, a new path forward emerges.","chase, loss, grief, mercenary, combat, relationships",8.6,2009
The bright Trail,"Adventure, Action",Barry Jenkins,"Matt Damon, Brad Pitt, Timothee Chalamet","An intrepid detective sets out on a quest to find the legendary Eye of Orion before it falls into the wrong hands. Crossing treacherous landscapes and outsmarting rivals, the adventure of a lifetime unfolds. A thrilling ride from start to finish.","ancient-ruins, military, combat, quest, exploration",7.8,2006
Beyond dream,"Sci-Fi, Action",Patty Jenkins,"Robert Downey Jr., Leonardo DiCaprio, Emma Stone, Chadwick Boseman","In a future where AI governs society, humanity faces its greatest challenge yet. A brilliant scientist discovers a truth that could change everything, but powerful forces want it buried. A thought-provoking sci-fi epic about the cost of progress.","undercover, explosion, mission, genetic-engineering, virtual-reality, weapons, alien",9.0,2024
Written in moon,Romance,Jordan Peele,"Brad Pitt, Robert Downey Jr., Lupita Nyong'o, Anya Taylor-Joy","Two strangers from different worlds find an unexpected connection in the Australian outback. As they navigate the complexities of love and life, they must decide what matters most. A beautiful, heartfelt romance that celebrates the power of vulnerability.","devotion, soulmate, chemistry, wedding, love",8.9,2016
How to steal a fortress,"Comedy, Thriller, Crime",Wes Anderson,"Robert Pattinson, Morgan Freeman, Pedro Pascal, Daisy Ridley","a struggling artist thought retirement would be peaceful, but a series of absurd events pulls them back into the spotlight. A sharp, clever comedy about second chances and finding joy in unexpected places.","mystery, conspiracy, road-trip, paranoia, gang, awkward",8.7,2004
Little horizon,Animation,Kathryn Bigelow,"Meryl Streep, Rami Malek, Joaquin Phoenix","When their homeland is threatened by a dark force, an unlikely hero must journey across fantastical lands. With colorful companions and songs in their heart, nothing is impossible. A joyful, dazzling animated adventure.","enchanted, quest, fantasy, musical, friendship, colorful",6.2,2024
Strike cipher,"Action, Drama",Ang Lee,"Robert Downey Jr., Denzel Washington, Chris Evans, Jenna Ortega","When a an arms dealer threatens to destabilize an entire region, a seasoned pilot is called back for one final mission. Allies become enemies and the line between right and wrong blurs in this high-octane thriller.","sacrifice, relationships, secrets, mercenary",4.2,2017
The savage Trail,Adventure,Paul Thomas Anderson,"Tom Hanks, Rami Malek, Al Pacino, Emma Stone","Stranded in the wilderness after a catastrophic explosion, a retired professor must use every skill to survive. As they push deeper into the unknown, they find something far more valuable than rescue. An awe-inspiring adventure about resilience and discovery.","expedition, map, pirates, ancient-ruins, jungle, exploration",7.0,2002
They break at Night,"Horror, Comedy",Edgar Wright,"Lupita Nyong'o, Oscar Isaac, Florence Pugh","After moving into a seemingly perfect island estate, a war veteran begins experiencing disturbing phenomena. The house has a history, and it is not done claiming victims. A slow-burn horror masterpiece dripping with dread.","slapstick, curse, supernatural, haunted, funny, occult, wedding",5.6,2011
The infinite Hour,Thriller,Kathryn Bigelow,"Natalie Portman, Meryl Streep, Robert Downey Jr.",Nothing is as it seems when a brilliant surgeon uncovers a conspiracy that reaches the highest levels of power. Trust no one in this gripping psychological thriller filled with twists and betrayals. The truth may be the most dangerous weapon of all.,"paranoia, stalker, serial-killer, investigation",7.8,2021
The cursed Club,"Comedy, Action",Kathryn Bigelow,"Daisy Ridley, John Boyega, Charlize Theron","A mismatched group of strangers must work together to pull off the impossible before the deadline. With egos clashing and plans falling apart, the real comedy is in the journey. Heartwarming, witty, and endlessly entertaining.","chase, explosion, survival, undercover, prank",9.2,2018
raven of the Deep,"Adventure, Horror",Bong Joon-ho,"Austin Butler, Timothee Chalamet, Samuel L. Jackson, Saoirse Ronan","Stranded in the wilderness after a catastrophic explosion, a brilliant surgeon must use every skill to survive. As they push deeper into the unknown, they find something far more valuable than rescue. An awe-inspiring adventure about resilience and discovery.","nightmare, jungle, isolation, occult, possession",5.5,2010
beacon Street,"Drama, Comedy, Adventure",Jordan Peele,"Tom Hanks, Pedro Pascal, Emma Stone","In the quiet corners of a Mediterranean island, a brilliant surgeon confronts a past that refuses to stay buried. Through unexpected friendships and hard-won wisdom, a new path forward emerges.","satire, expedition, grief, ancient-ruins",9.0,1991
The titan Syndicate,"Crime, Horror, Animation",Barry Jenkins,"Jason Momoa, Kate Winslet, Brie Larson, Pedro Pascal","When a struggling artist witnesses something they should not have, they are drawn into a criminal empire's deadly inner circle. The only way out is to bring it all down from the inside. A riveting crime drama with jaw-dropping twists.","friendship, fairy-tale, possession, occult, musical, underworld, heist",7.7,2015
Dream silence,"Animation, Comedy",Christopher Nolan,"Salma Hayek, Will Smith, Rami Malek, Meryl Streep","In a magical world where AI governs society, a young a small-town teacher embarks on an extraordinary adventure. Along the way, they discover the true meaning of courage and friendship. A visually breathtaking animated masterpiece for all ages.","satire, awkward, prank, fantasy, absurd, enchanted, funny",5.8,2014
